,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
18,2021-10-31,17:00,Ligue 1,Matchweek 12,Sun,Away,L,0,2,Brest,0.4,1.3,66.0,12463.0,Wissam Ben Yedder,4-4-2,Johan Hamel,Match Report,,5.0,2.0,18.7,0.0,0.0,0.0,2022,Monaco
20,2021-11-07,15:00,Ligue 1,Matchweek 13,Sun,Away,D,0,0,Reims,1.0,0.3,57.0,12080.0,Wissam Ben Yedder,4-4-2,Jérémie Pignard,Match Report,,12.0,3.0,22.5,0.0,0.0,0.0,2022,Monaco
21,2021-11-19,21:00,Ligue 1,Matchweek 14,Fri,Home,D,2,2,Lille,1.1,2.2,54.0,3778.0,Axel Disasi,4-4-2,Willy Delajod,Match Report,,17.0,7.0,18.1,1.0,0.0,0.0,2022,Monaco
23,2021-11-28,15:00,Ligue 1,Matchweek 15,Sun,Home,D,1,1,Strasbourg,2.1,1.0,59.0,3478.0,Wissam Ben Yedder,4-2-3-1,Antony Gautier,Match Report,,7.0,2.0,16.5,0.0,1.0,1.0,2022,Monaco
24,2021-12-01,19:00,Ligue 1,Matchweek 16,Wed,Away,W,3,1,Angers,3.1,1.3,52.0,8267.0,Axel Disasi,4-2-3-1,Romain Lissorgue,Match Report,,14.0,8.0,13.3,0.0,0.0,0.0,2022,Monaco
25,2021-12-05,15:00,Ligue 1,Matchweek 17,Sun,Home,W,4,0,Metz,1.6,0.6,65.0,4923.0,Axel Disasi,4-2-3-1,Bastien Dechepy,Match Report,,7.0,4.0,19.1,0.0,1.0,1.0,2022,Monaco
27,2021-12-12,20:45,Ligue 1,Matchweek 18,Sun,Away,L,0,2,Paris S-G,0.7,1.6,47.0,41154.0,Wissam Ben Yedder,4-2-3-1,Benoît Bastien,Match Report,,13.0,3.0,22.5,0.0,0.0,0.0,2022,Monaco
29,2021-12-22,21:00,Ligue 1,Matchweek 19,Wed,Home,W,2,1,Rennes,1.8,1.4,48.0,5354.0,Wissam Ben Yedder,4-2-3-1,Ruddy Buquet,Match Report,,10.0,2.0,16.1,0.0,1.0,1.0,2022,Monaco
31,2022-01-09,17:05,Ligue 1,Matchweek 20,Sun,Away,D,0,0,Nantes,0.8,0.4,68.0,4133.0,Aurélien Tchouaméni,4-2-3-1,Thomas Léonard,Match Report,,9.0,1.0,14.4,0.0,0.0,0.0,2022,Monaco
32,2022-01-16,15:00,Ligue 1,Matchweek 21,Sun,Home,W,4,0,Clermont Foot,3.6,0.4,53.0,2633.0,Axel Disasi,3-2-4-1,Jeremy Stinat,Match Report,,19.0,9.0,14.2,2.0,1.0,1.0,2022,Monaco
33,2022-01-23,17:05,Ligue 1,Matchweek 22,Sun,Away,L,2,3,Montpellier,1.2,1.7,61.0,5000.0,Wissam Ben Yedder,4-1-4-1,Jérémie Pignard,Match Report,,18.0,7.0,19.3,1.0,0.0,0.0,2022,Monaco
35,2022-02-05,21:00,Ligue 1,Matchweek 23,Sat,Home,W,2,0,Lyon,2.3,1.3,37.0,6550.0,Wissam Ben Yedder,4-1-4-1,Ruddy Buquet,Match Report,,10.0,6.0,14.9,0.0,0.0,0.0,2022,Monaco
37,2022-02-13,13:00,Ligue 1,Matchweek 24,Sun,Home,D,0,0,Lorient,1.2,0.1,64.0,3963.0,Wissam Ben Yedder,4-1-4-1,Bastien Dechepy,Match Report,,15.0,4.0,15.8,0.0,0.0,0.0,2022,Monaco
38,2022-02-20,17:05,Ligue 1,Matchweek 25,Sun,Away,D,1,1,Bordeaux,1.8,0.5,54.0,29557.0,Wissam Ben Yedder,4-1-4-1,Jérémie Pignard,Match Report,,13.0,4.0,20.1,1.0,0.0,0.0,2022,Monaco
39,2022-02-27,13:00,Ligue 1,Matchweek 26,Sun,Home,L,1,2,Reims,1.2,1.4,69.0,3982.0,Wissam Ben Yedder,4-1-4-1,Benoît Millot,Match Report,,18.0,5.0,19.2,0.0,0.0,0.0,2022,Monaco
41,2022-03-06,20:45,Ligue 1,Matchweek 27,Sun,Away,W,1,0,Marseille,0.8,0.7,33.0,56510.0,Wissam Ben Yedder,4-4-2,Antony Gautier,Match Report,,5.0,3.0,15.2,0.0,0.0,0.0,2022,Monaco
43,2022-03-13,15:00,Ligue 1,Matchweek 28,Sun,Away,L,0,1,Strasbourg,0.8,0.8,55.0,25231.0,Axel Disasi,4-2-3-1,Eric Wattellier,Match Report,,5.0,0.0,18.3,0.0,0.0,0.0,2022,Monaco
45,2022-03-20,13:00,Ligue 1,Matchweek 29,Sun,Home,W,3,0,Paris S-G,1.9,1.0,40.0,16642.0,Wissam Ben Yedder,4-1-4-1,Benoît Bastien,Match Report,,12.0,7.0,19.1,0.0,1.0,1.0,2022,Monaco
46,2022-04-03,15:00,Ligue 1,Matchweek 30,Sun,Away,W,2,1,Metz,1.5,0.9,57.0,19812.0,Wissam Ben Yedder,4-2-3-1,Jérôme Brisard,Match Report,,14.0,4.0,16.4,0.0,0.0,0.0,2022,Monaco
47,2022-04-10,15:00,Ligue 1,Matchweek 31,Sun,Home,W,2,1,Troyes,0.4,1.0,56.0,4786.0,Wissam Ben Yedder,4-4-2,Mikael Lesage,Match Report,,10.0,3.0,25.3,1.0,0.0,0.0,2022,Monaco
48,2022-04-15,21:00,Ligue 1,Matchweek 32,Fri,Away,W,3,2,Rennes,2.7,2.2,37.0,28336.0,Wissam Ben Yedder,4-2-3-1,Stéphanie Frappart,Match Report,,12.0,4.0,14.2,0.0,0.0,0.0,2022,Monaco
49,2022-04-20,19:00,Ligue 1,Matchweek 33,Wed,Home,W,1,0,Nice,1.7,0.7,48.0,10247.0,Wissam Ben Yedder,4-2-3-1,Benoît Millot,Match Report,,17.0,7.0,17.5,0.0,0.0,0.0,2022,Monaco
50,2022-04-23,19:00,Ligue 1,Matchweek 34,Sat,Away,W,4,1,Saint-Étienne,3.3,1.1,44.0,30018.0,Wissam Ben Yedder,4-2-3-1,Bastien Dechepy,Match Report,,13.0,6.0,14.6,1.0,0.0,0.0,2022,Monaco
51,2022-05-01,15:00,Ligue 1,Matchweek 35,Sun,Home,W,2,0,Angers,2.6,0.7,44.0,4616.0,Wissam Ben Yedder,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,15.0,7.0,15.8,0.0,0.0,0.0,2022,Monaco
52,2022-05-06,21:00,Ligue 1,Matchweek 36,Fri,Away,W,2,1,Lille,0.3,1.0,48.0,39088.0,Wissam Ben Yedder,4-2-3-1,François Letexier,Match Report,,9.0,3.0,22.9,2.0,0.0,0.0,2022,Monaco
53,2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Home,W,4,2,Brest,3.1,1.9,57.0,6000.0,Wissam Ben Yedder,4-2-3-1,Jérôme Brisard,Match Report,,24.0,7.0,14.1,0.0,1.0,1.0,2022,Monaco
54,2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Away,D,2,2,Lens,1.4,1.6,40.0,37764.0,Wissam Ben Yedder,4-2-3-1,Benoît Bastien,Match Report,,12.0,4.0,18.7,1.0,0.0,0.0,2022,Monaco
0,2021-08-08,13:00,Ligue 1,Matchweek 1,Sun,Home,D,1,1,Lens,0.7,2.1,59.0,22567.0,Hamari Traoré,4-3-3,Bastien Dechepy,Match Report,,10.0,2.0,19.1,1.0,0.0,0.0,2022,Rennes
1,2021-08-15,15:00,Ligue 1,Matchweek 2,Sun,Away,D,1,1,Brest,1.0,1.9,59.0,14271.0,Hamari Traoré,4-3-3,Benoît Bastien,Match Report,,6.0,2.0,9.9,0.0,0.0,0.0,2022,Rennes
3,2021-08-22,17:00,Ligue 1,Matchweek 3,Sun,Home,W,1,0,Nantes,0.9,0.5,62.0,27569.0,Hamari Traoré,4-2-3-1,Stéphanie Frappart,Match Report,,14.0,5.0,18.3,0.0,0.0,0.0,2022,Rennes
5,2021-08-29,15:00,Ligue 1,Matchweek 4,Sun,Away,L,0,2,Angers,0.9,2.2,48.0,6473.0,Hamari Traoré,4-2-3-1,Antony Gautier,Match Report,,7.0,2.0,14.5,1.0,0.0,0.0,2022,Rennes
6,2021-09-12,15:00,Ligue 1,Matchweek 5,Sun,Home,L,0,2,Reims,0.6,0.5,63.0,24486.0,Hamari Traoré,4-3-3,Thomas Léonard,Match Report,,10.0,1.0,18.0,1.0,0.0,0.0,2022,Rennes
8,2021-09-19,17:00,Ligue 1,Matchweek 6,Sun,Away,L,0,2,Marseille,1.5,2.1,36.0,54188.0,Hamari Traoré,4-4-2,Willy Delajod,Match Report,,13.0,2.0,14.0,1.0,0.0,0.0,2022,Rennes
9,2021-09-22,19:00,Ligue 1,Matchweek 7,Wed,Home,W,6,0,Clermont Foot,2.4,0.3,55.0,24109.0,Benjamin Bourigeaud,4-3-3,Benoît Bastien,Match Report,,21.0,10.0,17.4,0.0,0.0,0.0,2022,Rennes
10,2021-09-26,13:00,Ligue 1,Matchweek 8,Sun,Away,D,1,1,Bordeaux,2.0,0.7,53.0,16675.0,Hamari Traoré,4-4-2,Hakim Ben El Hadj Salem,Match Report,,18.0,8.0,17.4,0.0,0.0,0.0,2022,Rennes
12,2021-10-03,13:00,Ligue 1,Matchweek 9,Sun,Home,W,2,0,Paris S-G,1.0,1.5,33.0,28092.0,Hamari Traoré,4-4-2,Ruddy Buquet,Match Report,,12.0,4.0,19.0,0.0,0.0,0.0,2022,Rennes
13,2021-10-17,15:00,Ligue 1,Matchweek 10,Sun,Away,W,3,0,Metz,2.2,0.9,65.0,15679.0,Hamari Traoré,4-4-2,Benoît Millot,Match Report,,21.0,8.0,13.6,0.0,0.0,0.0,2022,Rennes
15,2021-10-24,15:00,Ligue 1,Matchweek 11,Sun,Home,W,1,0,Strasbourg,1.2,0.9,63.0,27185.0,Hamari Traoré,4-4-2,Stéphanie Frappart,Match Report,,18.0,3.0,13.1,0.0,0.0,0.0,2022,Rennes
16,2021-10-31,15:00,Ligue 1,Matchweek 12,Sun,Away,D,2,2,Troyes,1.3,1.3,62.0,8550.0,Hamari Traoré,4-4-2,Jeremy Stinat,Match Report,,13.0,5.0,14.1,0.0,0.0,0.0,2022,Rennes
18,2021-11-07,20:45,Ligue 1,Matchweek 13,Sun,Home,W,4,1,Lyon,3.3,1.1,49.0,28222.0,Hamari Traoré,4-4-1-1,Benoît Bastien,Match Report,,25.0,10.0,15.8,1.0,0.0,0.0,2022,Rennes
19,2021-11-20,21:00,Ligue 1,Matchweek 14,Sat,Home,W,2,0,Montpellier,2.9,0.7,67.0,27003.0,Hamari Traoré,4-3-3,Mikael Lesage,Match Report,,30.0,7.0,13.9,1.0,0.0,0.0,2022,Rennes
21,2021-11-28,15:00,Ligue 1,Matchweek 15,Sun,Away,W,2,0,Lorient,1.3,0.8,57.0,16321.0,Hamari Traoré,4-4-2,Bastien Dechepy,Match Report,,11.0,5.0,19.1,0.0,0.0,0.0,2022,Rennes
22,2021-12-01,21:00,Ligue 1,Matchweek 16,Wed,Home,L,1,2,Lille,0.8,0.7,64.0,25392.0,Hamari Traoré,4-4-2,Stéphanie Frappart,Match Report,,10.0,2.0,17.4,0.0,0.0,0.0,2022,Rennes
23,2021-12-05,13:00,Ligue 1,Matchweek 17,Sun,Away,W,5,0,Saint-Étienne,2.6,0.5,56.0,11257.0,Benjamin Bourigeaud,4-3-3,Thomas Léonard,Match Report,,18.0,10.0,13.6,0.0,0.0,0.0,2022,Rennes
25,2021-12-12,15:00,Ligue 1,Matchweek 18,Sun,Home,L,1,2,Nice,1.6,1.4,66.0,27892.0,Hamari Traoré,4-3-3,Willy Delajod,Match Report,,21.0,8.0,16.4,1.0,0.0,0.0,2022,Rennes
27,2021-12-22,21:00,Ligue 1,Matchweek 19,Wed,Away,L,1,2,Monaco,1.4,1.8,52.0,5354.0,Hamari Traoré,4-3-3,Ruddy Buquet,Match Report,,16.0,6.0,19.2,0.0,0.0,0.0,2022,Rennes
29,2022-01-08,21:00,Ligue 1,Matchweek 20,Sat,Away,L,0,1,Lens,0.5,0.8,43.0,5000.0,Benjamin Bourigeaud,4-3-3,Benoît Bastien,Match Report,,5.0,0.0,19.9,0.0,0.0,0.0,2022,Rennes
30,2022-01-16,13:00,Ligue 1,Matchweek 21,Sun,Home,W,6,0,Bordeaux,3.1,0.3,57.0,4951.0,Benjamin Bourigeaud,4-4-2,Bastien Dechepy,Match Report,,19.0,9.0,13.2,1.0,0.0,0.0,2022,Rennes
31,2022-01-23,15:00,Ligue 1,Matchweek 22,Sun,Away,L,1,2,Clermont Foot,1.7,1.1,52.0,4535.0,Benjamin Bourigeaud,4-4-2,Thomas Léonard,Match Report,,13.0,4.0,15.0,0.0,0.0,0.0,2022,Rennes
32,2022-02-06,17:00,Ligue 1,Matchweek 23,Sun,Home,W,2,0,Brest,2.1,0.4,60.0,25409.0,Hamari Traoré,4-3-3,Johan Hamel,Match Report,,19.0,8.0,13.7,0.0,0.0,0.0,2022,Rennes
33,2022-02-11,21:00,Ligue 1,Matchweek 24,Fri,Away,L,0,1,Paris S-G,0.8,0.9,37.0,47000.0,Hamari Traoré,4-3-3,Benoît Bastien,Match Report,,13.0,1.0,17.3,0.0,0.0,0.0,2022,Rennes
34,2022-02-20,15:00,Ligue 1,Matchweek 25,Sun,Home,W,4,1,Troyes,2.8,0.6,63.0,22967.0,Hamari Traoré,4-4-2,Clément Turpin,Match Report,,16.0,7.0,19.6,2.0,1.0,1.0,2022,Rennes
35,2022-02-25,21:00,Ligue 1,Matchweek 26,Fri,Away,W,4,2,Montpellier,1.9,1.2,53.0,10000.0,Hamari Traoré,4-4-2,Amaury Delerue,Match Report,,10.0,8.0,19.0,0.0,1.0,1.0,2022,Rennes
36,2022-03-06,15:00,Ligue 1,Matchweek 27,Sun,Home,W,2,0,Angers,1.6,0.6,55.0,27693.0,Hamari Traoré,4-4-2,Benoît Millot,Match Report,,15.0,4.0,13.5,0.0,0.0,0.0,2022,Rennes
38,2022-03-13,17:05,Ligue 1,Matchweek 28,Sun,Away,W,4,2,Lyon,1.5,1.3,39.0,46597.0,Hamari Traoré,4-3-3,Antony Gautier,Match Report,,9.0,7.0,17.5,0.0,0.0,0.0,2022,Rennes
40,2022-03-20,15:00,Ligue 1,Matchweek 29,Sun,Home,W,6,1,Metz,3.5,0.7,63.0,27966.0,Hamari Traoré,4-3-3,Willy Delajod,Match Report,,20.0,7.0,16.2,0.0,1.0,1.0,2022,Rennes
41,2022-04-02,17:00,Ligue 1,Matchweek 30,Sat,Away,D,1,1,Nice,1.1,0.8,61.0,24086.0,Hamari Traoré,4-3-3,Benoît Bastien,Match Report,,13.0,3.0,15.2,0.0,0.0,0.0,2022,Rennes
42,2022-04-09,17:00,Ligue 1,Matchweek 31,Sat,Away,W,3,2,Reims,1.5,2.6,59.0,10243.0,Hamari Traoré,4-2-3-1,Romain Lissorgue,Match Report,,14.0,8.0,15.6,1.0,0.0,0.0,2022,Rennes
43,2022-04-15,21:00,Ligue 1,Matchweek 32,Fri,Home,L,2,3,Monaco,2.2,2.7,63.0,28336.0,Hamari Traoré,4-2-3-1,Stéphanie Frappart,Match Report,,12.0,3.0,17.2,1.0,1.0,1.0,2022,Rennes
44,2022-04-20,21:00,Ligue 1,Matchweek 33,Wed,Away,L,1,2,Strasbourg,0.7,2.4,62.0,25148.0,Hamari Traoré,4-2-3-1,Willy Delajod,Match Report,,11.0,3.0,16.5,0.0,0.0,0.0,2022,Rennes
45,2022-04-24,13:00,Ligue 1,Matchweek 34,Sun,Home,W,5,0,Lorient,1.6,0.6,58.0,28324.0,Hamari Traoré,4-3-3,Benoît Millot,Match Report,,10.0,7.0,15.1,0.0,0.0,0.0,2022,Rennes
46,2022-04-30,21:00,Ligue 1,Matchweek 35,Sat,Home,W,2,0,Saint-Étienne,1.6,0.7,72.0,27390.0,Hamari Traoré,4-3-3,Jeremy Stinat,Match Report,,13.0,3.0,16.8,0.0,0.0,0.0,2022,Rennes
47,2022-05-11,21:00,Ligue 1,Matchweek 36,Wed,Away,L,1,2,Nantes,2.0,1.2,70.0,26359.0,Hamari Traoré,4-3-3,Antony Gautier,Match Report,,17.0,5.0,17.7,1.0,0.0,0.0,2022,Rennes
48,2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Home,W,2,0,Marseille,1.6,0.4,40.0,28811.0,Hamari Traoré,4-3-3,Benoît Bastien,Match Report,,12.0,4.0,16.7,0.0,0.0,0.0,2022,Rennes
49,2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Away,D,2,2,Lille,1.2,1.8,50.0,40116.0,Hamari Traoré,4-3-3,Amaury Delerue,Match Report,,13.0,3.0,19.5,1.0,0.0,0.0,2022,Rennes
0,2021-08-08,15:00,Ligue 1,Matchweek 1,Sun,Home,D,0,0,Reims,0.8,0.2,61.0,18030.0,Dante,4-4-2,Johan Hamel,Match Report,,12.0,2.0,14.9,0.0,0.0,0.0,2022,Nice
1,2021-08-14,17:00,Ligue 1,Matchweek 2,Sat,Away,W,4,0,Lille,1.9,0.8,38.0,30144.0,Dante,4-4-2,Jérôme Brisard,Match Report,,10.0,6.0,13.8,0.0,1.0,1.0,2022,Nice
2,2021-08-28,17:00,Ligue 1,Matchweek 4,Sat,Home,W,4,0,Bordeaux,3.2,1.1,43.0,,Dante,4-4-2,Jérémie Pignard,Match Report,,10.0,4.0,15.0,0.0,1.0,1.0,2022,Nice
3,2021-09-12,17:00,Ligue 1,Matchweek 5,Sun,Away,W,2,0,Nantes,2.1,1.7,49.0,14597.0,Dante,4-4-2,Benoît Millot,Match Report,,9.0,3.0,15.2,0.0,0.0,0.0,2022,Nice
4,2021-09-19,13:00,Ligue 1,Matchweek 6,Sun,Home,D,2,2,Monaco,1.7,2.4,49.0,,Dante,4-4-2,François Letexier,Match Report,,11.0,3.0,19.3,0.0,0.0,1.0,2022,Nice
5,2021-09-22,21:00,Ligue 1,Matchweek 7,Wed,Away,L,0,1,Lorient,2.2,0.5,63.0,10687.0,Dante,4-4-2,Romain Lissorgue,Match Report,,12.0,1.0,17.2,0.0,0.0,1.0,2022,Nice
6,2021-09-25,17:00,Ligue 1,Matchweek 8,Sat,Away,W,3,0,Saint-Étienne,2.2,0.6,41.0,19980.0,Dante,4-4-2,Amaury Delerue,Match Report,,14.0,9.0,15.9,1.0,0.0,0.0,2022,Nice
7,2021-10-02,21:00,Ligue 1,Matchweek 9,Sat,Home,W,2,1,Brest,3.8,0.6,70.0,13503.0,Dante,4-4-2,António Nobre,Match Report,,20.0,9.0,13.9,1.0,0.0,0.0,2022,Nice
8,2021-10-17,13:00,Ligue 1,Matchweek 10,Sun,Away,L,0,1,Troyes,0.6,0.9,61.0,7925.0,Dante,4-4-2,Johan Hamel,Match Report,,11.0,3.0,18.3,0.0,0.0,0.0,2022,Nice
9,2021-10-24,13:00,Ligue 1,Matchweek 11,Sun,Home,W,3,2,Lyon,2.4,1.4,43.0,24519.0,Dante,4-4-2,Jérôme Brisard,Match Report,,16.0,6.0,17.7,0.0,1.0,1.0,2022,Nice
10,2021-10-27,21:00,Ligue 1,Matchweek 3,Wed,Home,D,1,1,Marseille,1.5,0.5,45.0,,Dante,4-4-2,Clément Turpin,Match Report,,11.0,3.0,13.8,0.0,0.0,0.0,2022,Nice
11,2021-10-31,13:00,Ligue 1,Matchweek 12,Sun,Away,W,2,1,Angers,0.8,1.2,63.0,6788.0,Dante,4-4-2,Willy Delajod,Match Report,,14.0,5.0,21.6,1.0,0.0,0.0,2022,Nice
12,2021-11-07,17:00,Ligue 1,Matchweek 13,Sun,Home,L,0,1,Montpellier,1.4,0.4,68.0,20157.0,Dante,4-4-2,Antony Gautier,Match Report,,22.0,6.0,16.5,0.0,0.0,0.0,2022,Nice
13,2021-11-21,17:00,Ligue 1,Matchweek 14,Sun,Away,W,2,1,Clermont Foot,0.6,0.7,49.0,11683.0,Walter Benítez,4-4-2,Stéphanie Frappart,Match Report,,9.0,4.0,20.8,1.0,0.0,0.0,2022,Nice
14,2021-11-27,21:00,Ligue 1,Matchweek 15,Sat,Home,L,0,1,Metz,1.2,0.4,71.0,17033.0,Dante,4-4-2,François Letexier,Match Report,,20.0,2.0,20.8,0.0,0.0,0.0,2022,Nice
15,2021-12-01,21:00,Ligue 1,Matchweek 16,Wed,Away,D,0,0,Paris S-G,1.0,1.9,30.0,47502.0,Dante,4-4-2,Clément Turpin,Match Report,,4.0,2.0,17.7,0.0,0.0,0.0,2022,Nice
16,2021-12-05,17:00,Ligue 1,Matchweek 17,Sun,Home,L,0,3,Strasbourg,1.3,2.6,60.0,16220.0,Walter Benítez,4-4-2,Jérémie Pignard,Match Report,,12.0,5.0,18.0,1.0,0.0,0.0,2022,Nice
17,2021-12-12,15:00,Ligue 1,Matchweek 18,Sun,Away,W,2,1,Rennes,1.4,1.6,34.0,27892.0,Dante,4-4-2,Willy Delajod,Match Report,,7.0,2.0,14.4,0.0,1.0,1.0,2022,Nice
19,2021-12-22,21:00,Ligue 1,Matchweek 19,Wed,Home,W,2,1,Lens,0.9,1.0,55.0,22065.0,Dante,4-4-2,Jérôme Brisard,Match Report,,9.0,3.0,15.5,0.0,0.0,0.0,2022,Nice
20,2022-01-09,13:00,Ligue 1,Matchweek 20,Sun,Away,W,3,0,Brest,1.2,1.6,37.0,5102.0,Dante,4-4-2,Stéphanie Frappart,Match Report,,9.0,4.0,18.3,0.0,0.0,0.0,2022,Nice
21,2022-01-14,21:00,Ligue 1,Matchweek 21,Fri,Home,W,2,1,Nantes,1.7,0.4,54.0,5000.0,Dante,4-4-2,Ruddy Buquet,Match Report,,12.0,4.0,18.0,0.0,1.0,1.0,2022,Nice
22,2022-01-23,13:00,Ligue 1,Matchweek 22,Sun,Away,W,2,0,Metz,1.9,0.4,47.0,5000.0,Dante,4-4-2,Amaury Delerue,Match Report,,6.0,5.0,13.1,0.0,1.0,1.0,2022,Nice
24,2022-02-06,15:00,Ligue 1,Matchweek 23,Sun,Home,L,0,1,Clermont Foot,1.0,1.5,55.0,18022.0,Dante,4-4-2,Jérôme Brisard,Match Report,,7.0,3.0,10.7,0.0,0.0,0.0,2022,Nice
26,2022-02-12,21:00,Ligue 1,Matchweek 24,Sat,Away,L,0,2,Lyon,0.1,2.4,40.0,41974.0,Dante,4-4-2,Benoît Millot,Match Report,,1.0,1.0,6.6,0.0,0.0,0.0,2022,Nice
27,2022-02-20,13:00,Ligue 1,Matchweek 25,Sun,Home,W,1,0,Angers,0.8,0.8,58.0,18257.0,Dante,4-4-2,Romain Lissorgue,Match Report,,9.0,5.0,18.4,1.0,0.0,0.0,2022,Nice
28,2022-02-26,17:00,Ligue 1,Matchweek 26,Sat,Away,D,0,0,Strasbourg,0.2,0.8,37.0,25150.0,Dante,5-4-1,Stéphanie Frappart,Match Report,,4.0,0.0,21.2,1.0,0.0,0.0,2022,Nice
30,2022-03-05,21:00,Ligue 1,Matchweek 27,Sat,Home,W,1,0,Paris S-G,0.9,0.4,43.0,31949.0,Dante,4-4-2,Willy Delajod,Match Report,,11.0,6.0,17.3,0.0,0.0,0.0,2022,Nice
31,2022-03-12,17:00,Ligue 1,Matchweek 28,Sat,Away,D,0,0,Montpellier,0.8,2.9,43.0,11658.0,Dante,4-4-2,Clément Turpin,Match Report,,8.0,0.0,19.4,0.0,0.0,0.0,2022,Nice
32,2022-03-20,20:45,Ligue 1,Matchweek 29,Sun,Away,L,1,2,Marseille,1.4,1.5,44.0,64722.0,Walter Benítez,4-4-2,Jérôme Brisard,Match Report,,9.0,3.0,15.2,0.0,0.0,0.0,2022,Nice
33,2022-04-02,17:00,Ligue 1,Matchweek 30,Sat,Home,D,1,1,Rennes,0.8,1.1,39.0,24086.0,Dante,4-4-2,Benoît Bastien,Match Report,,10.0,3.0,15.6,0.0,0.0,0.0,2022,Nice
34,2022-04-10,17:05,Ligue 1,Matchweek 31,Sun,Away,L,0,3,Lens,1.4,0.9,58.0,36668.0,Dante,4-4-2,Willy Delajod,Match Report,,16.0,6.0,16.6,1.0,0.0,0.0,2022,Nice
35,2022-04-17,13:00,Ligue 1,Matchweek 32,Sun,Home,W,2,1,Lorient,2.2,0.2,63.0,17212.0,Walter Benítez,4-4-2,Amaury Delerue,Match Report,,14.0,1.0,14.1,1.0,1.0,1.0,2022,Nice
36,2022-04-20,19:00,Ligue 1,Matchweek 33,Wed,Away,L,0,1,Monaco,0.7,1.7,52.0,10247.0,Walter Benítez,4-4-2,Benoît Millot,Match Report,,15.0,2.0,18.2,0.0,0.0,0.0,2022,Nice
37,2022-04-24,15:00,Ligue 1,Matchweek 34,Sun,Home,W,1,0,Troyes,2.0,0.4,61.0,17065.0,Dante,4-4-2,Hakim Ben El Hadj Salem,Match Report,,18.0,3.0,15.7,0.0,0.0,0.0,2022,Nice
38,2022-05-01,17:05,Ligue 1,Matchweek 35,Sun,Away,W,1,0,Bordeaux,2.7,0.3,55.0,23552.0,Dante,4-4-2,Johan Hamel,Match Report,,14.0,2.0,15.4,0.0,0.0,0.0,2022,Nice
40,2022-05-11,19:00,Ligue 1,Matchweek 36,Wed,Home,W,4,2,Saint-Étienne,1.4,2.1,63.0,17704.0,Dante,4-4-2,Ruddy Buquet,Match Report,,14.0,7.0,16.8,2.0,0.0,0.0,2022,Nice
41,2022-05-14,21:00,Ligue 1,Matchweek 37,Sat,Home,L,1,3,Lille,1.4,2.0,59.0,24232.0,Dante,4-4-2,Thomas Léonard,Match Report,,16.0,6.0,16.3,0.0,0.0,0.0,2022,Nice
42,2022-05-21,21:00,Ligue 1,Matchweek 38,Sat,Away,W,3,2,Reims,1.8,0.7,55.0,12589.0,Dante,4-4-2,Eric Wattellier,Match Report,,16.0,5.0,22.9,1.0,1.0,1.0,2022,Nice
0,2021-08-08,15:00,Ligue 1,Matchweek 1,Sun,Home,L,0,2,Angers,0.3,0.9,57.0,23250.0,Dimitri Liénard,4-4-2,Jeremy Stinat,Match Report,,7.0,1.0,21.5,0.0,0.0,0.0,2022,Strasbourg
1,2021-08-14,21:00,Ligue 1,Matchweek 2,Sat,Away,L,2,4,Paris S-G,0.7,3.1,35.0,46962.0,Dimitri Liénard,5-3-2,Willy Delajod,Match Report,,8.0,2.0,19.2,0.0,0.0,0.0,2022,Strasbourg
2,2021-08-22,15:00,Ligue 1,Matchweek 3,Sun,Home,D,1,1,Troyes,2.2,1.4,60.0,22185.0,Dimitri Liénard,5-3-2,Jérôme Brisard,Match Report,,13.0,4.0,13.9,0.0,0.0,0.0,2022,Strasbourg
3,2021-08-29,15:00,Ligue 1,Matchweek 4,Sun,Home,W,3,1,Brest,1.4,0.8,48.0,22341.0,Dimitri Liénard,5-3-2,Romain Lissorgue,Match Report,,11.0,5.0,16.4,1.0,0.0,0.0,2022,Strasbourg
4,2021-09-12,20:45,Ligue 1,Matchweek 5,Sun,Away,L,1,3,Lyon,1.6,1.6,42.0,33267.0,Alexander Djiku,5-3-2,Ruddy Buquet,Match Report,,11.0,3.0,13.0,0.0,1.0,1.0,2022,Strasbourg
5,2021-09-17,21:00,Ligue 1,Matchweek 6,Fri,Home,W,3,0,Metz,2.0,0.6,46.0,25437.0,Dimitri Liénard,5-3-2,Eric Wattellier,Match Report,,9.0,4.0,18.7,1.0,1.0,1.0,2022,Strasbourg
6,2021-09-22,21:00,Ligue 1,Matchweek 7,Wed,Away,W,1,0,Lens,1.1,1.5,41.0,,Alexander Djiku,5-3-2,Jeremy Stinat,Match Report,,6.0,1.0,10.3,0.0,0.0,0.0,2022,Strasbourg
7,2021-09-25,19:00,Ligue 1,Matchweek 8,Sat,Home,L,1,2,Lille,0.4,2.3,58.0,23762.0,Dimitri Liénard,5-3-2,François Letexier,Match Report,,10.0,3.0,16.6,0.0,0.0,0.0,2022,Strasbourg
